"substance","marker_residue","species","MRL","target_tissue","other_provisions","therapeutic_class","MRL_value","MRL_units","target_tissue_comb"
"Cytidine and its 5’-mono-, 5’-di- and 5’-triphosphates","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Danofloxacin","Danofloxacin","Bovine, ovine, caprine, poultry","200 μg/kg","Muscle","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           For poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",200,"μg/kg","muscle"
"Danofloxacin","Danofloxacin","Bovine, ovine, caprine, poultry","100 μg/kg","Fat","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           For poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",100,"μg/kg","fat"
"Danofloxacin","Danofloxacin","Bovine, ovine, caprine, poultry","400 μg/kg","Liver","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           For poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",400,"μg/kg","liver"
"Danofloxacin","Danofloxacin","Bovine, ovine, caprine, poultry","400 μg/kg","Kidney","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           For poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",400,"μg/kg","kidney"
"Danofloxacin","Danofloxacin","All other food producing species","100 μg/kg","Muscle","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           For poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",100,"μg/kg","muscle"
"Danofloxacin","Danofloxacin","All other food producing species","50 μg/kg","Fat","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           For poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","fat"
"Danofloxacin","Danofloxacin","All other food producing species","200 μg/kg","Liver","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           For poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",200,"μg/kg","liver"
"Danofloxacin","Danofloxacin","All other food producing species","200 μg/kg","Kidney","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           For poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",200,"μg/kg","kidney"
"Danofloxacin","Danofloxacin","Bovine, ovine, caprine","30 μg/kg","Milk","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.
                           For poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",30,"μg/kg","milk"
"Decoquinate","NOT APPLICABLE","Bovine, ovine","No MRL required","NOT APPLICABLE","For oral use only.
                           Not for use in animals from which milk is produced for human consumption","NO ENTRY",NA,NA,NA
"Deltamethrin","Deltamethrin","All ruminants","10 μg/kg","Muscle","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",10,"μg/kg","muscle"
"Deltamethrin","Deltamethrin","All ruminants","50 μg/kg","Fat","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",50,"μg/kg","fat"
"Deltamethrin","Deltamethrin","All ruminants","10 μg/kg","Liver","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",10,"μg/kg","liver"
"Deltamethrin","Deltamethrin","All ruminants","10 μg/kg","Kidney","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",10,"μg/kg","kidney"
"Deltamethrin","Deltamethrin","All ruminants","20 μg/kg","Milk","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",20,"μg/kg","milk"
"Deltamethrin","Deltamethrin","Fin fish","10 μg/kg","Muscle and skin in natural proportions","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",10,"μg/kg","skin_muscle"
"Dembrexine","NOT APPLICABLE","Equidae","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Denaverine hydrochloride","NOT APPLICABLE","Bovine","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Derquantel","Derquantel","Ovine","2  μg/kg","Muscle","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents against endoparasites",2,"μg/kg","muscle"
"Derquantel","Derquantel","Ovine","40  μg/kg","Fat","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents against endoparasites",40,"μg/kg","fat"
"Derquantel","Derquantel","Ovine","20  μg/kg","Liver","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents against endoparasites",20,"μg/kg","liver"
"Derquantel","Derquantel","Ovine","5  μg/kg","Kidney","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents against endoparasites",5,"μg/kg","kidney"
"Deslorelin acetate","NOT APPLICABLE","Equidae","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Detomidine","NOT APPLICABLE","Bovine, Equidae","No MRL required","NOT APPLICABLE","For therapeutic use only.","NO ENTRY",NA,NA,NA
"Dexamethasone","Dexamethasone","Bovine, caprine, porcine, Equidae","0.75 μg/kg","Muscle","NO ENTRY","Corticoides/Glucocorticoides",0.75,"μg/kg","muscle"
"Dexamethasone","Dexamethasone","Bovine, caprine, porcine, Equidae","2 μg/kg","Liver","NO ENTRY","Corticoides/Glucocorticoides",2,"μg/kg","liver"
"Dexamethasone","Dexamethasone","Bovine, caprine, porcine, Equidae","0.75 μg/kg","Kidney","NO ENTRY","Corticoides/Glucocorticoides",0.75,"μg/kg","kidney"
"Dexamethasone","Dexamethasone","Bovine, caprine","0.3 μg/kg","Milk","NO ENTRY","Corticoides/Glucocorticoides",0.3,"μg/kg","milk"
"Dexpanthenol","NOT APPLICABLE","All food-producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Diazinon","Diazinon","Bovine, ovine, caprine, porcine","20 μg/kg","Muscle","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Antiparasitic agents/Agents against ectoparasites",20,"μg/kg","muscle"
"Diazinon","Diazinon","Bovine, ovine, caprine, porcine","700 μg/kg","Fat","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Antiparasitic agents/Agents against ectoparasites",700,"μg/kg","fat"
"Diazinon","Diazinon","Bovine, ovine, caprine, porcine","20 μg/kg","Liver","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Antiparasitic agents/Agents against ectoparasites",20,"μg/kg","liver"
"Diazinon","Diazinon","Bovine, ovine, caprine, porcine","20 μg/kg","Kidney","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Antiparasitic agents/Agents against ectoparasites",20,"μg/kg","kidney"
"Diazinon","Diazinon","Bovine, ovine, caprine","20 μg/kg","Milk","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Antiparasitic agents/Agents against ectoparasites",20,"μg/kg","milk"
"Diclazuril","NOT APPLICABLE","All ruminants, porcine","No MRL required","NOT APPLICABLE","For oral use only","NO ENTRY",NA,NA,NA
"Diclazuril","Diclazuril","Poultry","500  μg/kg","Muscle","Not for use in animals from which eggs are produced for human consumption","Antiparasitic agents/Agents acting againsts protozoa",500,"μg/kg","muscle"
"Diclazuril","Diclazuril","Poultry","500  μg/kg","Skin and fat in natural proportions","Not for use in animals from which eggs are produced for human consumption","Antiparasitic agents/Agents acting againsts protozoa",500,"μg/kg","skin_fat"
"Diclazuril","Diclazuril","Poultry","1 500  μg/kg","Liver","Not for use in animals from which eggs are produced for human consumption","Antiparasitic agents/Agents acting againsts protozoa",1500,"μg/kg","liver"
"Diclazuril","Diclazuril","Poultry","1 000  μg/kg","Kidney","Not for use in animals from which eggs are produced for human consumption","Antiparasitic agents/Agents acting againsts protozoa",1000,"μg/kg","kidney"
"Diclazuril","Diclazuril","Rabbit","150  μg/kg","Muscle","","Antiparasitic agents/Agents acting againsts protozoa",150,"μg/kg","muscle"
"Diclazuril","Diclazuril","Rabbit","300  μg/kg","Fat","","Antiparasitic agents/Agents acting againsts protozoa",300,"μg/kg","fat"
"Diclazuril","Diclazuril","Rabbit","2 500  μg/kg","Liver","","Antiparasitic agents/Agents acting againsts protozoa",2500,"μg/kg","liver"
"Diclazuril","Diclazuril","Rabbit","1 000  μg/kg","Kidney","","Antiparasitic agents/Agents acting againsts protozoa",1000,"μg/kg","kidney"
"Diclofenac","Diclofenac","Bovine","5 μg/kg","Muscle","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",5,"μg/kg","muscle"
"Diclofenac","Diclofenac","Bovine","1 μg/kg","Fat","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",1,"μg/kg","fat"
"Diclofenac","Diclofenac","Bovine","5 μg/kg","Liver","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",5,"μg/kg","liver"
"Diclofenac","Diclofenac","Bovine","10 μg/kg","Kidney","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",10,"μg/kg","kidney"
"Diclofenac","Diclofenac","Bovine","0.1 μg/kg","Milk","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",0.1,"μg/kg","milk"
"Diclofenac","Diclofenac","Porcine","5 μg/kg","Muscle","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",5,"μg/kg","muscle"
"Diclofenac","Diclofenac","Porcine","1 μg/kg","Skin and fat","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",1,"μg/kg","skin_fat"
"Diclofenac","Diclofenac","Porcine","5 μg/kg","Liver","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",5,"μg/kg","liver"
"Diclofenac","Diclofenac","Porcine","10 μg/kg","Kidney","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",10,"μg/kg","kidney"
"Dicloxacillin","Dicloxacillin","All food producing species","300 μg/kg","Muscle","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",300,"μg/kg","muscle"
